                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
OAK-MOR-649.fq.barcodeStripped         1691183                      0                      0                  1115                      3351              1686717
OAK-MOR-650.fq.barcodeStripped         1433087                      0                      0                  3602                       227              1429258
OAK-MOR-651.nameFixed                   667846                      0                      0                   208                         0               667638
OAK-MOR-652.nameFixed                   970285                      0                      0                   344                         0               969941
OAK-MOR-653.nameFixed                   606249                      0                      0                   217                         0               606032
OAK-MOR-658.fq.barcodeStripped         1491161                      0                      0                   929                      2840              1487392
OAK-MOR-659.fq.barcodeStripped         1659236                      0                      0                  1001                      3146              1655089
OAK-MOR-660.fq.barcodeStripped         1650529                      0                      0                  1023                      3093              1646413
OAK-MOR-662.fq.barcodeStripped         1555974                      0                      0                   949                      2900              1552125
OAK-MOR-663.fq.barcodeStripped         1566038                      0                      0                  1038                      2906              1562094
OAK-MOR-671.fq.barcodeStripped         1167517                      0                      0                   754                      2278              1164485
OAK-MOR-672.fq.barcodeStripped         1840901                      0                      0                  1186                      3571              1836144
OAK-MOR-673.fq.barcodeStripped          846318                      0                      0                   586                      1735               843997
OAK-MOR-674.fq.barcodeStripped          894174                      0                      0                   608                      1726               891840
OAK-MOR-68.fq.barcodeStripped          1308354                      0                      0                  3034                       193              1305127
OAK-MOR-683.fq.barcodeStripped         1221142                      0                      0                  3109                       184              1217849
OAK-MOR-685.fq.barcodeStripped         1185116                      0                      0                  2722                       166              1182228
OAK-MOR-686.fq.barcodeStripped         1313566                      0                      0                  2811                       191              1310564
OAK-MOR-687.fq.barcodeStripped         1423118                      0                      0                  3169                       223              1419726
OAK-MOR-689.fq.barcodeStripped         1436538                      0                      0                  3229                       183              1433126
OAK-MOR-690.fq.barcodeStripped         1382294                      0                      0                   879                      2693              1378722
OAK-MOR-692.fq.barcodeStripped         1130080                      0                      0                  2664                       161              1127255
OAK-MOR-693.fq.barcodeStripped         1296719                      0                      0                  3425                       202              1293092
OAK-MOR-694.fq.barcodeStripped         1229642                      0                      0                  3096                       181              1226365
OAK-MOR-696.fq.barcodeStripped         2221566                      0                      0                  4660                       347              2216559
OAK-MOR-697.fq.barcodeStripped         1702241                      0                      0                  4428                       255              1697558
OAK-MOR-698.fq.barcodeStripped         1559603                      0                      0                  3432                       221              1555950
OAK-MOR-699.fq.barcodeStripped         2721984                      0                      0                  6103                       402              2715479
OAK-MOR-700.fq.barcodeStripped         1863345                      0                      0                  4134                       295              1858916
OAK-MOR-701.fq.barcodeStripped         2001545                      0                      0                  5195                       307              1996043
OAK-MOR-707.fq.barcodeStripped         1685350                      0                      0                  1097                      3194              1681059
OAK-MOR-708.fq.barcodeStripped         1385838                      0                      0                   825                      2583              1382430
OAK-MOR-709.fq.barcodeStripped          815991                      0                      0                   531                      1468               813992
OAK-MOR-711.fq.barcodeStripped         1210418                      0                      0                   720                      2169              1207529
OAK-MOR-713.fq.barcodeStripped         1387126                      0                      0                   905                      2599              1383622
OAK-MOR-715.nameFixed                   702618                      0                      0                   234                         0               702384
OAK-MOR-716.fq.barcodeStripped          967450                      0                      0                   636                      1749               965065
OAK-MOR-718.fq.barcodeStripped         1584233                      0                      0                   962                      2903              1580368
OAK-MOR-723.fq.barcodeStripped         1124578                      0                      0                   711                      2095              1121772
OAK-MOR-725.nameFixed                   745164                      0                      0                   251                         0               744913
OAK-MOR-727.fq.barcodeStripped         1692910                      0                      0                  1094                      3297              1688519
OAK-MOR-728.fq.barcodeStripped         1518018                      0                      0                   971                      2945              1514102
OAK-MOR-729.fq.barcodeStripped         1150552                      0                      0                   702                      2229              1147621
OAK-MOR-735.fq.barcodeStripped         1604128                      0                      0                   970                      3065              1600093
OAK-MOR-736.fq.barcodeStripped         3354598                      0                      0                  2057                      6274              3346267
OAK-MOR-76.fq.barcodeStripped          2080911                      0                      0                  4600                       293              2076018
OAK-MOR-892                            1173818                      0                      0                  3190                       514              1170114
OAK-MOR-893                             944522                      0                      0                  2535                       398               941589
OAK-MOR-894                             801074                      0                      0                  2206                       333               798535
OAK-MOR-895                             581785                      0                      0                  1569                       288               579928
OAK-MOR-896                            1182185                      0                      0                  3190                       487              1178508
OAK-MOR-897                             750177                      0                      0                  2130                       345               747702
OAK-MOR-898                             681212                      0                      0                  1845                       285               679082
OAK-MOR-899                             350314                      0                      0                  1010                       166               349138
OAK-MOR-90.fq.barcodeStripped          1410972                      0                      0                  3894                       214              1406864
OAK-MOR-900                             906907                      0                      0                  2439                       402               904066
OAK-MOR-901                             364535                      0                      0                   998                       159               363378
OAK-MOR-902                             873838                      0                      0                  2424                       388               871026
OAK-MOR-903                             472420                      0                      0                  1289                       190               470941
OAK-MOR-904                             817412                      0                      0                  2161                       358               814893
OAK-MOR-907                            1120368                      0                      0                  3047                       494              1116827
OAK-MOR-908                            1178463                      0                      0                  3196                       548              1174719
OAK-MOR-909                             790071                      0                      0                  2107                       337               787627
OAK-MOR-910                            1020088                      0                      0                  2722                       462              1016904
OAK-MOR-911                            1219876                      0                      0                  3311                       570              1215995
OAK-MOR-912                             798592                      0                      0                  2219                       368               796005
OAK-MOR-913                             736707                      0                      0                  1978                       329               734400
OAK-MOR-914                            1033091                      0                      0                  2797                       477              1029817
OAK-MOR-915                            1011270                      0                      0                  2721                       454              1008095
OAK-MOR-916                            1198859                      0                      0                  3298                       489              1195072
OAK-MOR-917                             746994                      0                      0                  1975                       334               744685
OAK-MOR-918                             883370                      0                      0                  2426                       343               880601
OAK-MOR-919                             841707                      0                      0                  2343                       373               838991
OAK-MOR-920                             823680                      0                      0                  2296                       342               821042
OAK-MOR-921                             913839                      0                      0                  2480                       468               910891
OAK-MOR-922                             825518                      0                      0                  2149                       322               823047
OAK-MOR-923                             864397                      0                      0                  2380                       350               861667
OAK-MOR-924                            1012762                      0                      0                  2729                       449              1009584
OAK-MOR-926                            1000428                      0                      0                  2800                       478               997150
OAK-MOR-927                             978795                      0                      0                  2745                       445               975605
OAK-MOR-928                             923313                      0                      0                  2469                       433               920411
OAK-MOR-929                            1378775                      0                      0                  3712                       635              1374428
OAK-MOR-930                             891601                      0                      0                  2417                       394               888790
OAK-MOR-931                            1277779                      0                      0                  3550                       548              1273681
OAK-MOR-932                            1018590                      0                      0                  2735                       472              1015383
OAK-MOR-933                             756776                      0                      0                  2090                       321               754365
OAK-MOR-934                             918564                      0                      0                  2382                       376               915806
OAK-MOR-935                             832077                      0                      0                  2155                       349               829573
OAK-MOR-936                             889285                      0                      0                  2479                       408               886398
OAK-MOR-937                             985329                      0                      0                  2714                       447               982168
OAK-MOR-938                             992848                      0                      0                  2687                       429               989732
OAK-MOR-939                             844110                      0                      0                  2315                       348               841447
OAK-MOR-940                             890163                      0                      0                  2381                       425               887357
OAK-MOR-941                             893671                      0                      0                  2448                       440               890783
OAK-MOR-942                            1006756                      0                      0                  2630                       425              1003701
OAK-MOR-943                             832196                      0                      0                  2237                       349               829610
OAK-MOR-944                            1477894                      0                      0                  3832                       640              1473422
OAK-MOR-946                            1124529                      0                      0                  3000                       508              1121021
OAK-MOR-947                            1041527                      0                      0                  2852                       497              1038178
OAK-MOR-951                             951211                      0                      0                  2565                       418               948228
OAK-MOR-955                             775991                      0                      0                  2083                       332               773576
OAK-MOR-959                            1784024                      0                      0                  4870                       784              1778370
OAK-MOR-960                             978931                      0                      0                  2639                       440               975852
OAK-MOR-971                             997456                      0                      0                  2683                       472               994301
OAK-MOR-974                            1226438                      0                      0                  3208                       545              1222685
OAK-MOR-975                             886339                      0                      0                  2440                       367               883532
OAK-MOR-977                             986332                      0                      0                  2712                       439               983181
OAK-MOR-978                             850268                      0                      0                  2390                       388               847490
OAK-MOR-979                             751152                      0                      0                  2045                       345               748762
OAK-MOR-980                            1068563                      0                      0                  2871                       480              1065212
OAK-MOR-981                            1373189                      0                      0                  3799                       622              1368768
OAK-MOR-982                            1405863                      0                      0                  3843                       624              1401396
OAK-MOR-983                            1215291                      0                      0                  3276                       608              1211407
OAK-MOR-985                            1091663                      0                      0                  2875                       480              1088308
OAK-MOR-986                            1036538                      0                      0                  2710                       448              1033380
OAK-MOR-987                            1312909                      0                      0                  3462                       578              1308869
OAK-MOR-988                            1001916                      0                      0                  2702                       444               998770
OAK-MOR-989                             964479                      0                      0                  2567                       420               961492
OAK-MOR-990                             685893                      0                      0                  1823                       294               683776
OAK-MOR-992                            1367984                      0                      0                  3692                       626              1363666
OAK-MOR-993                             900251                      0                      0                  2421                       382               897448
OAK-MOR-994                            1067162                      0                      0                  2859                       482              1063821
OAK-MOR-995                            1886448                      0                      0                  5014                       790              1880644
OAK-MOR-996                            1952503                      0                      0                  5254                       882              1946367
OAK-MOR-997                            1154203                      0                      0                  2977                       542              1150684
OAK-MOR-JW-2604                        2211263                      0                      0                   582                         0              2210681
OAK-UMN-003                            2008609                      0                      0                   387                         0              2008222
OAK-UMN-004                            1225850                      0                      0                   235                         0              1225615
OAK-UMN-005                            1346150                      0                      0                   217                         0              1345933
OAK-UMN-007                             496567                      0                      0                    91                         0               496476
OAK-UMN-008                            1485386                      0                      0                   285                         0              1485101
OAK-UMN-009                            1562629                      0                      0                   273                         0              1562356
OAK-UMN-010                             509286                      0                      0                    96                         0               509190
OAK-UMN-011                             312391                      0                      0                    61                         0               312330
OAK-UMN-012.fq.barcodeStripped          301988                      0                      0                   836                        41               301111
OAK-UMN-013                             855294                      0                      0                   142                         0               855152
OAK-UMN-014                            1769661                      0                      0                   309                         0              1769352
OAK-UMN-015                            2239659                      0                      0                   355                         0              2239304
OAK-UMN-037                            1257073                      0                      0                   205                         0              1256868
OAK-UMN-038                            2074317                      0                      0                   367                         0              2073950
OAK-UMN-040                            2039965                      0                      0                   355                         0              2039610
OAK-UMN-041                            1752139                      0                      0                   291                         0              1751848
OAK-UMN-045                            1344573                      0                      0                   220                         0              1344353
OAK-UMN-047                             483025                      0                      0                   140                         0               482885
OAK-UMN-058                            1747865                      0                      0                   301                         0              1747564
OAK-UMN-059                            5970775                      0                      0                   326                         0              5970449
OAK-UMN-060                             372922                      0                      0                    57                         0               372865
OAK-UMN-066                            2326777                      0                      0                   368                         0              2326409
OAK-UMN-067.fq.barcodeStripped         1216884                      0                      0                  2831                       193              1213860
OAK-UMN-070                            2058491                      0                      0                   340                         0              2058151
OAK-UMN-079                            2125752                      0                      0                   339                         0              2125413
OAK-UMN-088                            2902216                      0                      0                   503                         0              2901713
OAK-UMN-091                            2108332                      0                      0                   376                         0              2107956
OAK-UMN-103                            1377998                      0                      0                   223                         0              1377775
OAK-UMN-106                             885459                      0                      0                   252                         0               885207
OAK-UMN-124                            1188909                      0                      0                   194                         0              1188715
OAK-UMN-128                             844999                      0                      0                   206                         0               844793
OAK-UMN-133                             875898                      0                      0                   208                         0               875690
OAK-UMN-135                              24030                      0                      0                     1                         0                24029
OAK-UMN-136                            1586254                      0                      0                   252                         0              1586002
OAK-UMN-140                            2111190                      0                      0                   355                         0              2110835
OAK-UMN-146                            2158920                      0                      0                   347                         0              2158573
OAK-UMN-150                            1152950                      0                      0                   209                         0              1152741
OAK-UMN-156                            1990317                      0                      0                   328                         0              1989989
OAK-UMN-166                            1296619                      0                      0                   211                         0              1296408
OAK-UMN-173                            1169741                      0                      0                   202                         0              1169539
OAK-UMN-180                            1416891                      0                      0                   259                         0              1416632
OAK-UMN-236                            1708403                      0                      0                   291                         0              1708112
OAK-UMN-243                             729363                      0                      0                   123                         0               729240
OAK-UMN-255                            1865566                      0                      0                   315                         0              1865251
OAK-UMN-257                            1712508                      0                      0                   268                         0              1712240
OAK-UMN-258                            1604542                      0                      0                   274                         0              1604268
OAK-UMN-260                            1730326                      0                      0                   275                         0              1730051
OAK-UMN-261                            1195303                      0                      0                   219                         0              1195084
OAK-UMN-263                            1857753                      0                      0                   337                         0              1857416
OAK-UMN-265                            1792927                      0                      0                   296                         0              1792631
OAK-UMN-268                            1948903                      0                      0                   310                         0              1948593
OAK-UMN-271                            1970620                      0                      0                   329                         0              1970291
OAK-UMN-276                             922732                      0                      0                   220                         0               922512
OAK-UMN-280                            2099886                      0                      0                   353                         0              2099533
OAK-UMN-288                            1699334                      0                      0                   314                         0              1699020
OAK-UMN-293                            1461081                      0                      0                   284                         0              1460797
OAK-UMN-294                            1373382                      0                      0                   255                         0              1373127
OAK-UMN-297                            1609005                      0                      0                   264                         0              1608741
OAK-UMN-302                            2334280                      0                      0                   440                         0              2333840
OAK-UMN-304.fq.barcodeStripped         1465604                      0                      0                  3385                       233              1461986
OAK-UMN-309                            1065670                      0                      0                   172                         0              1065498
OAK-UMN-311                            1629699                      0                      0                   274                         0              1629425
OAK-UMN-314                            1515004                      0                      0                   255                         0              1514749
OAK-UMN-323                            1598108                      0                      0                   270                         0              1597838
OAK-UMN-324                            1724481                      0                      0                   298                         0              1724183
OAK-UMN-333                            1843709                      0                      0                   327                         0              1843382
OAK-UMN-334                            1954847                      0                      0                   318                         0              1954529
OAK-UMN-338.fq.barcodeStripped         1230623                      0                      0                  2925                       177              1227521
OAK-UMN-343                            1802187                      0                      0                   299                         0              1801888
OAK-UMN-346                            1648746                      0                      0                   282                         0              1648464
OAK-UMN-352                             419746                      0                      0                    94                         0               419652
OAK-UMN-356                             368908                      0                      0                    69                         0               368839
OAK-UMN-357                             530372                      0                      0                    91                         0               530281
OAK-UMN-358                             349251                      0                      0                    60                         0               349191
OAK-UMN-361                             220909                      0                      0                    13                         0               220896
OAK-UMN-363                             296585                      0                      0                    19                         0               296566
OAK-UMN-374                            1131241                      0                      0                   264                         0              1130977
OAK-UMN-378                             543504                      0                      0                    94                         0               543410
OAK-UMN-381                            1309340                      0                      0                   220                         0              1309120
OAK-UMN-383                              89697                      0                      0                    12                         0                89685
OAK-UMN-385                             415458                      0                      0                    72                         0               415386
OAK-UMN-391                             541952                      0                      0                   156                         0               541796
OAK-UMN-395                             547278                      0                      0                    91                         0               547187
OAK-UMN-397.fq.barcodeStripped         1069279                      0                      0                  2616                       177              1066486
OAK-UMN-399                             200104                      0                      0                    36                         0               200068
OAKS-MOR-472.nameFixed                  235246                      0                      0                    73                         0               235173
OAKS-MOR-492                           1500685                      0                      0                   379                         0              1500306
OAKS-MOR-585                           2169193                      0                      0                  1860                         1              2167332
OAKS-MOR-871                           1348673                      0                      0                  3583                       636              1344454
OAKS-MOR-872                           1150667                      0                      0                  3050                       531              1147086
OAKS-MOR-873                           1341072                      0                      0                  3659                       573              1336840
OG-10.fq.barcodeStripped                688378                      0                      0                   474                      1336               686568
OG-11.fq.barcodeStripped               2072856                      0                      0                  1317                      3589              2067950
OG-12.fq.barcodeStripped                421878                      0                      0                   273                       783               420822
OG-13.fq.barcodeStripped               1942258                      0                      0                  1281                      3840              1937137
OG-14.fq.barcodeStripped               1559793                      0                      0                  1044                      3083              1555666
OG-15.fq.barcodeStripped               1747558                      0                      0                  1108                      3142              1743308
OG-16.fq.barcodeStripped                697438                      0                      0                   433                      1394               695611
OG-17.fq.barcodeStripped                664657                      0                      0                   441                      1218               662998
OG-18.fq.barcodeStripped               1050244                      0                      0                   647                      1930              1047667
OG-19.fq.barcodeStripped               1219451                      0                      0                   815                      2346              1216290
OG-20.fq.barcodeStripped                532936                      0                      0                   379                      1010               531547
OG-5.fq.barcodeStripped                1968212                      0                      0                  1276                      3829              1963107
OG-6.fq.barcodeStripped                 450603                      0                      0                   263                       781               449559
OG-7.fq.barcodeStripped                2020500                      0                      0                  1255                      3956              2015289
OG-8.fq.barcodeStripped                 898188                      0                      0                   560                      1620               896008
OG-9.fq.barcodeStripped                 712071                      0                      0                   436                      1371               710264
PA_2010.techRep.fq.barcodeStripped      702385                      0                      0                    36                      1564               700785
PM-101a.fq.barcodeStripped             1003356                      0                      0                  2357                       167              1000832
PM-103a.fq.barcodeStripped              981444                      0                      0                  2506                       160               978778
PM-104a.fq.barcodeStripped             1384768                      0                      0                  3081                       188              1381499
PM-106                                   54919                      0                      0                   116                         0                54803
PM-10b.fq.barcodeStripped              1021084                      0                      0                  2510                       165              1018409
PM-12b.fq.barcodeStripped               935835                      0                      0                  2509                       135               933191
PM-19.fq.barcodeStripped               1204730                      0                      0                  2661                       174              1201895
PM-215                                 2576006                      0                      0                  7466                       994              2567546
PM-216                                  964932                      0                      0                  2782                       368               961782
PM-217                                 3240152                      0                      0                  9257                      1314              3229581
PM-218                                 4986982                      0                      0                 14279                      1906              4970797
PM-219                                 3261570                      0                      0                  9351                      1299              3250920
PM-227                                  105715                      0                      0                   286                        33               105396
PM-228                                   64224                      0                      0                   171                        26                64027
PM-229                                   31402                      0                      0                    79                        16                31307
PM-230                                  254216                      0                      0                   684                       114               253418
PM-232                                  970097                      0                      0                  2701                       405               966991
PM-233                                  325089                      0                      0                   941                       125               324023
PM-234                                 1751544                      0                      0                  5058                       704              1745782
PM-235                                 1718789                      0                      0                  4967                       699              1713123
PM-236                                 2019970                      0                      0                  5705                       741              2013524
PM-237                                  588943                      0                      0                  1674                       219               587050
PM-238                                 2338617                      0                      0                  6734                       918              2330965
PM-241                                 1300162                      0                      0                  3733                       521              1295908
PM-242                                 4248433                      0                      0                 12282                      1733              4234418
PM-244                                  103950                      0                      0                   295                        31               103624
PM-245                                  151819                      0                      0                   393                        70               151356
PM-246                                  632107                      0                      0                  1760                       212               630135
PM-247                                  559150                      0                      0                  1534                       207               557409
PM-248                                  234619                      0                      0                   619                        81               233919
PM-250                                  228777                      0                      0                   625                       106               228046
PM-251                                  976882                      0                      0                  2823                       391               973668
PM-252                                  178983                      0                      0                   505                        76               178402
PM-253                                  358959                      0                      0                   976                       142               357841
PM-254                                 1075688                      0                      0                  3029                       373              1072286
PM-255                                   31357                      0                      0                    86                        15                31256
PM-256                                  445834                      0                      0                  1276                       171               444387
PM-257                                  187683                      0                      0                   529                        49               187105
PM-258                                  232178                      0                      0                   627                        77               231474
PM-260                                  759581                      0                      0                  2203                       305               757073
PM-261                                  987733                      0                      0                  2792                       393               984548
PM-262                                  492296                      0                      0                  1428                       173               490695
PM-263                                  882951                      0                      0                  2489                       382               880080
PM-264                                  812113                      0                      0                  2271                       335               809507
PM-265                                  254000                      0                      0                   655                       102               253243
PM-266                                 1360390                      0                      0                  3821                       508              1356061
PM-268                                  353233                      0                      0                   983                       152               352098
PM-269                                 1638316                      0                      0                  4670                       644              1633002
PM-270                                  658051                      0                      0                  1830                       280               655941
PM-271                                  843970                      0                      0                  2422                       312               841236
PM-272                                  622699                      0                      0                  1768                       250               620681
PM-273                                   78903                      0                      0                   220                        30                78653
PM-275                                 1767065                      0                      0                  5023                       710              1761332
PM-276                                 1005192                      0                      0                  2870                       354              1001968
PM-277                                  269790                      0                      0                   767                       104               268919
PM-279                                  101419                      0                      0                   253                        46               101120
PM-280                                  474120                      0                      0                  1346                       180               472594
PM-281                                  352373                      0                      0                  1019                       142               351212
PM-282                                  125844                      0                      0                   362                        54               125428
PM-284                                   15167                      0                      0                    34                         3                15130
PM-285                                   51003                      0                      0                   138                        14                50851
PM-286                                   36108                      0                      0                    96                        12                36000
PM-287                                   52854                      0                      0                   150                        18                52686
PM-288                                   93842                      0                      0                   240                        29                93573
PM-292                                  850435                      0                      0                  2454                       326               847655
PM-293                                 1003451                      0                      0                  2893                       382              1000176
PM-294                                 1446354                      0                      0                  4094                       566              1441694
PM-295                                  997664                      0                      0                  2771                       405               994488
PM-296                                  798343                      0                      0                  2265                       324               795754
PM-297                                  811618                      0                      0                  2379                       333               808906
PM-298                                  987872                      0                      0                  2765                       394               984713
PM-300                                 1054077                      0                      0                  3047                       419              1050611
PM-304                                   31994                      0                      0                    78                         7                31909
PM-305                                   87048                      0                      0                   215                        32                86801
PM-306                                 1570271                      0                      0                  4447                       668              1565156
PM-307                                  225062                      0                      0                   618                        83               224361
PM-308                                   36859                      0                      0                    83                         2                36774
PM-309                                 1619234                      0                      0                  4598                       649              1613987
PM-310                                 1240044                      0                      0                  3474                       493              1236077
PM-311                                 1606117                      0                      0                  4566                       644              1600907
PM-312                                 3965792                      0                      0                 11454                      1515              3952823
PM-313                                  886175                      0                      0                  2450                       317               883408
PM-314                                 1225582                      0                      0                  3521                       468              1221593
PM-316                                 1246518                      0                      0                  3559                       485              1242474
PM-317                                  133819                      0                      0                   346                        53               133420
PM-318                                 1180101                      0                      0                  3323                       472              1176306
PM-319                                  999358                      0                      0                  2863                       412               996083
PM-320                                 1013248                      0                      0                  2834                       367              1010047
PM-321                                  781930                      0                      0                  2270                       333               779327
PM-322                                 1059290                      0                      0                  2985                       383              1055922
PM-323                                  908028                      0                      0                  2565                       395               905068
PM-324                                  347049                      0                      0                   934                       119               345996
PM-325                                 1448551                      0                      0                  4197                       572              1443782
PM-327                                  961570                      0                      0                  2677                       397               958496
PM-329                                  581829                      0                      0                  1333                         0               580496
PM-331                                 1795164                      0                      0                  4277                         0              1790887
PM-332                                 1381777                      0                      0                  2636                         0              1379141
PM-335                                 1393957                      0                      0                  2966                         0              1390991
PM-336                                 3196132                      0                      0                  6372                         0              3189760
PM-337                                 1219486                      0                      0                  2499                         0              1216987
PM-338                                 1123620                      0                      0                  2594                         0              1121026
PM-3b.fq.barcodeStripped               1193950                      0                      0                  3124                       205              1190621
PM-47b.fq.barcodeStripped              1013687                      0                      0                  2674                       136              1010877
PM-49.fq.barcodeStripped               1242471                      0                      0                  2586                       198              1239687
PM-5b.fq.barcodeStripped               1292525                      0                      0                  3047                       213              1289265
PM-76                                  1185892                      0                      0                  2830                         8              1183054
PM-80b.fq.barcodeStripped              1551193                      0                      0                  3147                       252              1547794
PM-93b.fq.barcodeStripped              1191057                      0                      0                  3115                       172              1187770
PM-98.fq.barcodeStripped               1278231                      0                      0                  3073                       205              1274953
PM1                                    2386492                      0                      0                   400                         0              2386092
PM107.fq.barcodeStripped               3842544                      0                      0                 10123                       610              3831811
PM11                                   2267297                      0                      0                   336                         0              2266961
PM141.fq.barcodeStripped                882917                      0                      0                  2333                       105               880479
PM143.fq.barcodeStripped               1314160                      0                      0                  2896                       210              1311054
PM145.fq.barcodeStripped               1566753                      0                      0                  4136                       234              1562383
PM147.fq.barcodeStripped               1316611                      0                      0                  3552                       195              1312864
PM148.fq.barcodeStripped               1368671                      0                      0                  3100                       215              1365356
PM150.fq.barcodeStripped               1535704                      0                      0                  4041                       208              1531455
PM155.fq.barcodeStripped               1567220                      0                      0                  4207                       233              1562780
PM178.fq.barcodeStripped               3126994                      0                      0                  1917                      5778              3119299
PM179.fq.barcodeStripped               2008461                      0                      0                  1217                      3687              2003557
PM190.fq.barcodeStripped               1436565                      0                      0                   902                      2798              1432865
PM2                                    1668977                      0                      0                   289                         0              1668688
PM4                                    2231703                      0                      0                   393                         0              2231310
PM96                                   2559856                      0                      0                  2226                         1              2557629
PM_215                                 2576006                      0                      0                  7466                       994              2567546
PM_216                                  964932                      0                      0                  2782                       368               961782
PM_217                                 3240152                      0                      0                  9257                      1314              3229581
PM_218                                 4986982                      0                      0                 14279                      1906              4970797
PM_219                                 3261570                      0                      0                  9351                      1299              3250920
PM_227                                  105715                      0                      0                   286                        33               105396
PM_228                                   64224                      0                      0                   171                        26                64027
PM_229                                   31402                      0                      0                    79                        16                31307
PM_230                                  254216                      0                      0                   684                       114               253418
PM_232                                  970097                      0                      0                  2701                       405               966991
PM_233                                  325089                      0                      0                   941                       125               324023
PM_235                                 1718789                      0                      0                  4967                       699              1713123
PM_236                                 2019970                      0                      0                  5705                       741              2013524
PM_237                                  588943                      0                      0                  1674                       219               587050
PM_238                                 2338617                      0                      0                  6734                       918              2330965
PM_241                                 1300162                      0                      0                  3733                       521              1295908
PM_242                                 4248433                      0                      0                 12282                      1733              4234418
PM_244                                  103950                      0                      0                   295                        31               103624
PM_245                                  151819                      0                      0                   393                        70               151356
PM_246                                  632107                      0                      0                  1760                       212               630135
PM_247                                  559150                      0                      0                  1534                       207               557409
PM_288                                   93842                      0                      0                   240                        29                93573
PM_304                                   31994                      0                      0                    78                         7                31909
PM_305                                   87048                      0                      0                   215                        32                86801
PM_313                                  886175                      0                      0                  2450                       317               883408
PM_321                                  781930                      0                      0                  2270                       333               779327
PM_322                                 1059290                      0                      0                  2985                       383              1055922
PM_324                                  347049                      0                      0                   934                       119               345996
PM_325                                 1448551                      0                      0                  4197                       572              1443782
PM_327                                  961570                      0                      0                  2677                       397               958496
PM_76                                  1185892                      0                      0                  2677                       161              1183054
PM_F7                                  3034687                      0                      0                  8497                      1196              3024994
PO_2010.techRep.fq.barcodeStripped      600005                      0                      0                    22                      1395               598588
Q-humb10-2-17-1                        1187409                      0                      0                  2238                         0              1185171
RO_2010.techRep.fq.barcodeStripped      725871                      0                      0                    28                      1676               724167
SCCU3                                   505504                      0                      0                   533                         0               504971
TXGR3                                   879229                      0                      0                   918                         0               878311
TXMD3                                   934386                      0                      0                  1020                         0               933366
TXWV2                                   163427                      0                      0                   195                         0               163232
UMN_124                                1188909                      0                      0                   194                         0              1188715
VI1_2012.techRep                       2167294                      0                      0                   983                         0              2166311
