                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
FLCK216                                 791393                      0                      0                   894                         0               790499
FLMO62                                  905151                      0                      0                   994                         0               904157
FLSA185                                3976506                      0                      0                  4285                         0              3972221
FLSF33                                  857771                      0                      0                   921                         0               856850
FLSF47                                  908978                      0                      0                   963                         0               908015
FLSF54_2012.techRep                    2543324                      0                      0                   851                         0              2542473
FLWO6                                  1099920                      0                      0                  1139                         0              1098781
HE_2012.techRep                        2777404                      0                      0                  1029                         0              2776375
HNDA09                                 1112292                      0                      0                  1203                         0              1111089
HY_2010.techRep.fq.barcodeStripped      499235                      0                      0                    19                      1162               498054
JCB-MX-JA-MA-153.fq.barcodeStripped    1113560                      0                      0                  2514                       183              1110863
JCB-MX-JA-TM-123.fq.barcodeStripped    1083704                      0                      0                  2749                       147              1080808
JCB-MX-JA-TS-215.fq.barcodeStripped     823188                      0                      0                  2245                       129               820814
JCB-MX-OA-OA-34.fq.barcodeStripped     1454920                      0                      0                  3452                       222              1451246
LALC2                                  1436228                      0                      0                  1617                         0              1434611
LO_2010.techRep.fq.barcodeStripped      715720                      0                      0                    36                      1656               714028
LY_2010.techRep.fq.barcodeStripped      658313                      0                      0                    21                      1489               656803
MA_2010.techRep.fq.barcodeStripped      569788                      0                      0                    19                      1307               568462
MI_2010.techRep.fq.barcodeStripped      177168                      0                      0                     9                       397               176762
MO_2010.techRep.fq.barcodeStripped      528979                      0                      0                    12                      1265               527702
MXED8                                  1154841                      0                      0                  1270                         0              1153571
MXGT4                                  1347187                      0                      0                  1506                         0              1345681
MXSA3017                               1046574                      0                      0                  1120                         0              1045454
NI_2012.techRep                        4482353                      0                      0                  2038                         0              4480315
NM35.fq.barcodeStripped                 495903                      0                      0                   961                        73               494869
NX02.fq.barcodeStripped                1672651                      0                      0                  4290                       261              1668100
NX03.fq.barcodeStripped                1197364                      0                      0                  2758                       163              1194443
NX04.fq.barcodeStripped                 761790                      0                      0                  1740                       104               759946
NX05.fq.barcodeStripped                1578563                      0                      0                  4044                       260              1574259
NX08.fq.barcodeStripped                1526902                      0                      0                  3944                       259              1522699
NX11.fq.barcodeStripped                1887365                      0                      0                  4250                       285              1882830
NX13.fq.barcodeStripped                1844593                      0                      0                  4756                       271              1839566
NX14.fq.barcodeStripped                2033665                      0                      0                  5050                       313              2028302
NX15.fq.barcodeStripped                 842089                      0                      0                  2137                       116               839836
NX16.fq.barcodeStripped                1617445                      0                      0                  4423                       235              1612787
NX17.fq.barcodeStripped                1366407                      0                      0                  3214                       210              1362983
NX18.fq.barcodeStripped                1789295                      0                      0                  4577                       272              1784446
NX19.fq.barcodeStripped                2024971                      0                      0                  4618                       308              2020045
NX23.fq.barcodeStripped                1703392                      0                      0                  3932                       261              1699199
OAK-MOR-001151                         2156512                      0                      0                   115                         0              2156397
OAK-MOR-001152                         4455004                      0                      0                   276                         0              4454728
OAK-MOR-001153                         1970841                      0                      0                   106                         0              1970735
OAK-MOR-001156                         3376355                      0                      0                   173                         0              3376182
OAK-MOR-001157                         3858411                      0                      0                   202                         0              3858209
OAK-MOR-001158                         2864475                      0                      0                   158                         0              2864317
OAK-MOR-001159                         3622328                      0                      0                   226                         0              3622102
