                                    clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
PM-331                                       92801             26349             1699              391         64362  5549183   41353        0.00745
PM-332                                       82847             25512             1556              476         55303  4768407   35973        0.00754
PM-335                                       82722             24212             1594              449         56467  4868003   36498        0.00750
PM-336                                      134790             35900             3475              790         94625  8158155   66660        0.00817
PM-337                                       81835             25356             1663              491         54325  4686732   43194        0.00922
PM-338                                       79273             26715             1374              447         50737  4372004   25672        0.00587
PM-3b.fq.barcodeStripped                     79545             25716             1951              473         51405  4638948   37425        0.00807
PM-47b.fq.barcodeStripped                    73655             24290             1400              372         47593  4292653   28181        0.00656
PM-49.fq.barcodeStripped                     74362             20713             1671              380         51598  4654740   31786        0.00683
PM-5b.fq.barcodeStripped                     74644             20898             1589              366         51791  4670514   25248        0.00541
PM-76                                        83356             28275             2261              585         52235  5236006   42985        0.00821
PM-80b.fq.barcodeStripped                   110889             44145             1717              436         64591  5827587   35206        0.00604
PM-93b.fq.barcodeStripped                    88439             32294             1712              454         53979  4869261   32287        0.00663
PM-98.fq.barcodeStripped                     81261             25539             1592              419         53711  4845888   34555        0.00713
PM1                                          86735             20283             2327              494         63631  5807062   42220        0.00727
PM107.fq.barcodeStripped                    244297            114900             4163             1227        124007 11184346   74527        0.00666
PM11                                         94454             23581             2735              656         67482  6159025   48590        0.00789
PM141.fq.barcodeStripped                     78967             33595             1403              464         43505  3923895   24450        0.00623
PM143.fq.barcodeStripped                     76513             22014             1906              436         52157  4706428   34660        0.00736
PM145.fq.barcodeStripped                     79222             20207             1984              436         56595  5107225   40465        0.00792
PM147.fq.barcodeStripped                     79612             24545             1688              399         52980  4778778   31427        0.00658
PM148.fq.barcodeStripped                     76041             21714             1563              387         52377  4724652   31280        0.00662
PM150.fq.barcodeStripped                     78760             21325             1724              378         55333  4992098   34926        0.00700
PM155.fq.barcodeStripped                     79173             20312             2088              429         56344  5084127   38476        0.00757
PM178.fq.barcodeStripped                    177065             99186             3130              679         74070  6765346   65747        0.00972
PM179.fq.barcodeStripped                    140579             69769             2474              677         67659  6175510   51304        0.00831
PM190.fq.barcodeStripped                    125336             58812             2567              775         63182  5769362   51069        0.00885
PM2                                          78212             18720             1871              444         57177  5214486   31190        0.00598
PM4                                          83823             18584             2157              493         62589  5709909   38280        0.00670
PM96                                        152448             76825             2667             1431         71525  6527480   52350        0.00802
PM_215                                      105924             32806             2604              588         69926  6360804   51005        0.00802
PM_216                                       84890             38780             1498              637         43975  4000195   30068        0.00752
PM_217                                      172104             88387             3721              897         79099  7195555   60918        0.00847
PM_218                                      444259            313405             7853             2584        120417 10941098   72499        0.00663
PM_219                                      117486             39338             3181              663         74304  6763119   60281        0.00891
PM_227                                       28148             24132               86               99          3831   348134    1620        0.00465
PM_228                                       14244             12335               33               52          1824   165712     600        0.00362
PM_229                                        7063              6284                7               13           759    68964     123        0.00178
PM_230                                       48478             35776              360              322         12020  1092548    7999        0.00732
PM_232                                       93159             44613             1556              664         46326  4212995   34087        0.00809
PM_233                                       57626             40719              506              388         16013  1455044   10575        0.00727
PM_235                                       91899             26519             2473              577         62330  5668907   49691        0.00877
PM_236                                       95830             28583             2474              602         64171  5838043   51238        0.00878
PM_237                                       71754             38208             1172              617         31757  2886069   23852        0.00826
PM_238                                       98338             26958             2713              575         68092  6195577   55650        0.00898
PM_241                                      105048             49907             1976              782         52383  4763294   39123        0.00821
PM_242                                      105641             28895             3079              476         73191  6665346   61527        0.00923
PM_244                                       23142             19597               92               80          3373   306189    1234        0.00403
PM_245                                       16120             13776               48               68          2228   202128     584        0.00289
PM_246                                       85075             55648              991              601         27835  2529019   18729        0.00741
PM_247                                       75226             50919              688              508         23111  2098896   13255        0.00632
PM_288                                       12124             10715               57               40          1312   119541     296        0.00248
PM_304                                        1503              1338                3               12           150    13605      21        0.00154
PM_305                                       15344             13490               32               72          1750   159279     465        0.00292
PM_313                                       81374             37154             1438              600         42182  3836137   30073        0.00784
PM_321                                       76191             33390             1353              585         40863  3712991   23189        0.00625
PM_322                                      100334             48298             1900              682         49454  4493414   29996        0.00668
PM_324                                       44778             33358              358              305         10757   977948    6918        0.00707
PM_325                                       90450             28034             2187              600         59629  5422509   47502        0.00876
PM_327                                      147778             99650             2556             1332         44240  4038764   31964        0.00791
PM_76                                        84838             29386             1861              508         53083  4791663   43783        0.00914
PM_F7                                       112874             38551             2751              582         70990  6461645   45641        0.00706
PO_2010.techRep.fq.barcodeStripped           80920             44621              199              229         35871  1978173   28527        0.01442
Q-humb10-2-17-1                             122743             59991             1126              577         61049  5258417   20907        0.00398
RO_2010.techRep.fq.barcodeStripped           80447             39888              195              191         40173  2215324   26075        0.01177
SCCU3                                        99086             71066             1134              711         26175  2492015   19033        0.00764
TXGR3                                        89499             44177             1899              737         42686  4063842   36401        0.00896
TXMD3                                        90236             40932             2061              793         46450  4422629   37983        0.00859
TXWV2                                        40292             32512              293              257          7230   688068    4864        0.00707
UMN_124                                      70573             19496             1575              451         49051  4473433   27024        0.00604
VI1_2012.techRep                            106216             34308             2965              858         68085  6489805   60581        0.00933
