                                    clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
AC_2010.techRep.fq.barcodeStripped           74856             50661              116              201         23878  1317189   19746        0.01499
AGR-3.fq.barcodeStripped                    125308             58662             1721              563         64362  5804092   30400        0.00524
AGR-4.fq.barcodeStripped                    155483             74896             2004              703         77880  7020321   37234        0.00530
AGR-5.fq.barcodeStripped                    135538             58941             1710              589         74298  6697570   31687        0.00473
AGR-8.fq.barcodeStripped                    184063            100960             1663              960         80480  7255497   36251        0.00500
AGR1.fq.barcodeStripped                      90132             31152             2287              759         55934  5103150   42423        0.00831
AGR11.fq.barcodeStripped                    386501            349224             1912             1237         34128  3111085   24826        0.00798
AGR17.fq.barcodeStripped                    213116            145669             2618             1029         63800  5821340   49287        0.00847
AGR18.fq.barcodeStripped                    274345            230761             2156             1418         40010  3648099   32657        0.00895
AGR2.fq.barcodeStripped                     165471            108640             2388             1162         53281  4861160   42516        0.00875
AGR20.fq.barcodeStripped                     64667             63142               97               88          1340   122058     813        0.00666
AGR21.fq.barcodeStripped                    762214            704012             4734             2590         50878  4691159   45754        0.00975
AGR22.fq.barcodeStripped                    539411            485652             4123             2819         46817  4270083   52535        0.01230
AGR23.fq.barcodeStripped                    187066            176020              751              741          9554   872370   14086        0.01615
AGR25.fq.barcodeStripped                    442938            390294             2690             1697         48257  4403005   39149        0.00889
AGR27.fq.barcodeStripped                     94836             91196              253              250          3137   286117    2891        0.01010
AGR28.fq.barcodeStripped                     51864             50088               83              106          1587   144734    1471        0.01016
AGR29.fq.barcodeStripped                    346405            302012             3368             1810         39215  3578383   34399        0.00961
AGR30.fq.barcodeStripped                     25766             25291               11               15           449    40876     155        0.00379
AGR33.fq.barcodeStripped                    822453            719220             6619             3980         92634  8443138   76072        0.00901
AGR34.fq.barcodeStripped                     92685             26063             2550              583         63489  5793456   46063        0.00795
AGR6.fq.barcodeStripped                     413404            352693             2651             1717         56343  5136991   43111        0.00839
AGR7.fq.barcodeStripped                     181312            144091             1692              914         34615  3157942   30368        0.00962
AL_2010.techRep.fq.barcodeStripped           78726             47174              180              231         31141  1717539   25483        0.01484
AR_2012.techRep                             105360             28608             3462              595         72695  6931617   57499        0.00830
AU_2010.techRep.fq.barcodeStripped           77688             40619              188              192         36689  2022197   24776        0.01225
BJSB3                                        82331             33400             2023              716         46192  4396785   33177        0.00755
BJSL25_2012.techRep                         114430             32650             3870              593         77317  7369235   55482        0.00753
BJVL19_2012.techRep                         108784             30812             3400              557         74015  7053441   51688        0.00733
BZBB1                                        96357             49090             2080              777         44410  4228701   33533        0.00793
CH_2012.techRep                             110395             31460             3738              632         74565  7109466   60857        0.00856
CR-JCB-1.fq.barcodeStripped                 193744            105794             1507              660         85783  7730606   26779        0.00346
CR-JCB-2.fq.barcodeStripped                 292948            168082             2302             1149        121415 10939012   37716        0.00345
CR-JCB-3.fq.barcodeStripped                 233893            121941             2083              966        108903  9813171   32997        0.00336
CRL0001_2012.techRep                        153145             59804             4151             1202         87988  8384460   74941        0.00894
CRL0030_2012.techRep                        165711             74231             3605             1514         86361  8221282   51057        0.00621
CUCA4                                        79694             44774             1515              759         32646  3109562   27694        0.00891
CUMM5                                        26742             22767              186              149          3640   346434    2547        0.00735
CUSV6                                        83254             37794             2000              770         42690  4066110   34691        0.00853
CUVN10                                       92566             37047             2387              785         52347  4984703   42901        0.00861
DM-11012                                    105597             55190             1643              752         48012  4362827   33960        0.00778
DM-11599                                     86941             36776             1854              668         47643  4329075   31209        0.00721
DM-5887                                     129335             80836             1939              886         45674  4150406   34868        0.00840
DM1                                          96334             27834             2954              598         64948  5929451   57480        0.00969
DM10                                         91869             26374             2662              515         62318  5687456   50410        0.00886
DM11                                         87407             27837             2402              558         56610  5166003   46137        0.00893
DM12                                         92691             26551             2749              601         62790  5730292   52702        0.00920
DM16                                        111812             43334             2852              605         65021  5934032   49192        0.00829
DM18                                         90773             30316             2529              607         57321  5231071   45960        0.00879
DM19                                        112256             46724             2888              799         61845  5651343   59654        0.01056
DM2                                          94884             25674             2851              569         65790  6005759   57299        0.00954
DM20                                        190347            115301             2937             1119         70990  6476692   61458        0.00949
DM22                                        105726             30506             3411              578         71231  6506158   64406        0.00990
DM23                                        101380             29743             3256              596         67785  6188302   56366        0.00911
DM24                                        103747             34729             2907              568         65543  5983590   56905        0.00951
DM28                                        115804             44477             3091              644         67592  6172550   58853        0.00953
DM3                                         110076             42988             2455              685         63948  5833848   48055        0.00824
DM30                                         95007             37208             2710              739         54350  4961806   51719        0.01042
DM31                                         27591             26167              110               70          1244   113697    1671        0.01470
DM34                                         91220             31370             2646              668         56536  5160432   46039        0.00892
DM35                                        116548             54422             2392              623         59111  5393803   45360        0.00841
DM36                                         85001             56660             1281              532         26528  2423220   22352        0.00922
DM37                                        147093             62440             5085              729         78839  7209481   69090        0.00958
DM38                                        229903            132201             4500             1133         92069  8410365   78646        0.00935
DM39                                        431410            293536             5775             2226        129873 11853795   89984        0.00759
DM40                                         91879             27925             2495              521         60938  5562519   48955        0.00880
DM41                                        103089             30674             3099              512         68804  6283129   57707        0.00918
DM43                                        133973             56733             3734              633         72873  6656274   62554        0.00940
DM45                                         92427             24933             2357              488         64649  5898574   43013        0.00729
DM46                                         98251             26665             2899              506         68181  6220953   45371        0.00729
DM47                                        167830             91021             2677              715         73417  6697730   54955        0.00821
DM5                                          91116             25947             2650              541         61978  5656304   50386        0.00891
DM52                                        172578            100865             2380              825         68508  6248525   54953        0.00879
DM53                                        119233             53269             2706              762         62496  5702523   50595        0.00887
DM54                                        209773            161297             2128              836         45512  4152770   38228        0.00921
DM55                                        380854            315698             2422             1442         61292  5592481   54652        0.00977
DM56                                        100581             50224             2134              694         47529  4337683   39233        0.00904
DM57                                        152928            102745             2114              749         47320  4318613   40180        0.00930
DM58                                        250082            179768             2793             1057         66464  6062437   45078        0.00744
DM59                                        171063            112531             2333              919         55280  5043162   44121        0.00875
DM6                                          96306             27463             2974              603         65266  5958111   57608        0.00967
DM60                                         41366             36389              237              162          4578   417962    4078        0.00976
DM61                                        264252            179703             2679             1275         80595  7352407   57744        0.00785
DM62                                        400633            341279             2971             1604         54779  4998510   57067        0.01142
DM63                                        206658            159743             2101              707         44107  4025964   39106        0.00971
DM65                                         98212             53623             1961              674         41954  3828847   36434        0.00952
DM66                                        266052            187905             3108             1226         73813  6734991   56898        0.00845
DM68                                        119867             56465             2869              713         59820  5462055   53723        0.00984
DM69                                        204923            140769             2531              831         60792  5547755   49047        0.00884
DM7                                          97147             31819             2766              696         61866  5649756   55716        0.00986
DM70                                          6310              6051               12                9           238    21713     120        0.00553
DM71                                         84119             26102             1815              480         55722  5082254   34100        0.00671
DM72                                         81407             35729             1766              608         43304  3950524   31414        0.00795
DM73                                         94392             23987             2739              487         67179  6131446   47285        0.00771
DM74                                        103612             29551             3365              621         70075  6397003   53357        0.00834
DM8                                          87819             30550             2330              617         54322  4958337   46717        0.00942
DM9                                          87375             32287             2227              620         52241  4767734   43259        0.00907
DO_2012.techRep                              90666             25981             2665              705         61315  5842761   49468        0.00847
DU_2012.techRep                             110220             32545             3557              705         73413  6998026   55849        0.00798
EN_2012.techRep                              72208             32297             1518              726         37667  3587742   29432        0.00820
F7                                          112874             38551             2751              582         70990  6461645   45641        0.00706
FLAB109_2012.techRep                        232473             95068             3296             1718        132391 12597743   63231        0.00502
FLBA140_2012.techRep                        111104             35718             3255              697         71434  6804343   53221        0.00782
FLCK18                                      123129             70482             2372             1027         49248  4689685   39665        0.00846
FLCK216                                      97538             51850             2021              797         42870  4083547   36282        0.00888
FLMO62                                       86669             37410             2405              771         46083  4389628   45061        0.01027
FLSA185                                     176234             94072             3176             1052         77934  7425564   43168        0.00581
FLSF33                                       92840             45592             2201              756         44291  4216966   35145        0.00833
FLSF47                                       90066             40731             2299              765         46271  4405987   39558        0.00898
FLSF54_2012.techRep                         101135             29068             3266              726         68075  6485883   54367        0.00838
FLWO6                                       124837             62269             3274             1440         57854  5506964   47628        0.00865
HE_2012.techRep                              95075             24539             2780              529         67227  6406126   49410        0.00771
HNDA09                                       89381             33739             2591              739         52312  4980237   38592        0.00775
HY_2010.techRep.fq.barcodeStripped           78270             49656              181              203         28230  1557036   22205        0.01426
JCB-MX-JA-MA-153.fq.barcodeStripped          79450             26708             1800              414         50528  4558315   31566        0.00692
JCB-MX-JA-TM-123.fq.barcodeStripped          76254             25983             1706              478         48087  4339177   32939        0.00759
JCB-MX-JA-TS-215.fq.barcodeStripped          71755             27993             1436              435         41891  3778806   25513        0.00675
JCB-MX-OA-OA-34.fq.barcodeStripped           77027             21147             1970              402         53508  4827846   34119        0.00707
LALC2                                       102680             40460             2715              724         58781  5597190   45926        0.00821
LO_2010.techRep.fq.barcodeStripped           80575             36571              219              193         43592  2403339   29208        0.01215
LY_2010.techRep.fq.barcodeStripped           88312             48484              236              235         39357  2172059   39394        0.01814
MA_2010.techRep.fq.barcodeStripped           87247             53535              210              195         33307  1838875   35129        0.01910
MI_2010.techRep.fq.barcodeStripped           59027             53986               36              119          4886   269968    7101        0.02630
MO_2010.techRep.fq.barcodeStripped           77092             45430              175              193         31294  1726163   26917        0.01559
MXED8                                       111067             56340             2532              853         51342  4888200   42523        0.00870
MXGT4                                       107260             45644             2709              840         58067  5531686   49260        0.00891
MXSA3017                                    118853             64395             2315              850         51293  4884408   38815        0.00795
NI_2012.techRep                             106576             30107             3322              590         72557  6916616   54260        0.00784
NM35.fq.barcodeStripped                      53504             24457              775              297         27975  2522464   15337        0.00608
NX02.fq.barcodeStripped                      77540             17790             1971              366         57413  5181114   38724        0.00747
NX03.fq.barcodeStripped                      71436             19510             1542              373         50011  4512438   31932        0.00708
NX04.fq.barcodeStripped                      63604             23490             1163              365         38586  3480721   24720        0.00710
NX05.fq.barcodeStripped                      76105             17366             1832              400         56507  5098907   37946        0.00744
NX08.fq.barcodeStripped                      76151             18094             1803              394         55860  5040561   38877        0.00771
NX11.fq.barcodeStripped                      78318             16705             1966              343         59304  5352064   41318        0.00772
NX13.fq.barcodeStripped                      77717             16380             1927              341         59069  5330775   40928        0.00768
NX14.fq.barcodeStripped                      79289             16152             2041              310         60786  5485838   42253        0.00770
NX15.fq.barcodeStripped                      65344             22185             1233              340         41586  3750968   24907        0.00664
NX16.fq.barcodeStripped                      77375             18384             1814              355         56822  5127278   38055        0.00742
NX17.fq.barcodeStripped                      73596             18588             1703              364         52941  4776464   34490        0.00722
NX18.fq.barcodeStripped                      79815             19022             1966              362         58465  5276368   40619        0.00770
NX19.fq.barcodeStripped                      80378             17098             2092              387         60801  5487200   42812        0.00780
NX23.fq.barcodeStripped                      77514             17657             1893              403         57561  5193676   38764        0.00746
OAK-MOR-001151                               58480             18094              848              240         39298  3386625   16268        0.00480
OAK-MOR-001152                               88570             31089             2676              460         54345  4686633   32422        0.00692
OAK-MOR-001153                               60456             18780              856              250         40570  3496483   18378        0.00526
OAK-MOR-001156                               79869             20833             1525              361         57150  4928106   30867        0.00626
OAK-MOR-001157                               75172             16075             1391              296         57410  4948924   29834        0.00603
OAK-MOR-001158                               77347             21205             1223              342         54577  4704511   27190        0.00578
OAK-MOR-001159                               74479             18094             1321              299         54765  4720439   26481        0.00561
OAK-MOR-001160                               68764             17763             1107              267         49627  4276800   22141        0.00518
OAK-MOR-001161                               75849             16582             1464              309         57494  4956193   28590        0.00577
OAK-MOR-001162                               77900             18773             1517              311         57299  4941104   32836        0.00665
OAK-MOR-001163                               64947             18998             1033              286         44630  3846853   22321        0.00580
OAK-MOR-001165                               67568             18800             1129              261         47378  4083216   22055        0.00540
OAK-MOR-001166                               77125             21631             1270              345         53879  4644761   27458        0.00591
OAK-MOR-001167                              102268             31063             1532              412         69261  5969902   31443        0.00527
OAK-MOR-001170                               77063             17538             1605              345         57575  4964334   31880        0.00642
OAK-MOR-001171                               89323             18953             1724              349         68297  5887707   35506        0.00603
OAK-MOR-001172                               85116             20869             1355              321         62571  5392436   27714        0.00514
OAK-MOR-001173                               79181             18748             1367              307         58759  5064281   27416        0.00541
OAK-MOR-001174                               63838             16120              953              252         46513  4008919   19234        0.00480
OAK-MOR-001175                               63072             16889              949              259         44975  3875494   19405        0.00501
