                                     hetero_est  error_est
OAK-UMN-358                            0.006497   0.001798
OAK-UMN-361                            0.001419   0.001682
OAK-UMN-363                            0.001847   0.001799
OAK-UMN-374                            0.014153   0.002856
OAK-UMN-378                            0.007590   0.001797
OAK-UMN-381                            0.009202   0.002054
OAK-UMN-383                            0.001884   0.001908
OAK-UMN-385                            0.005850   0.002003
OAK-UMN-391                            0.016901   0.002588
OAK-UMN-395                            0.007938   0.002068
OAK-UMN-397.fq.barcodeStripped         0.012074   0.001446
OAK-UMN-399                            0.004621   0.002091
OAKS-MOR-472.nameFixed                 0.009961   0.001391
OAKS-MOR-492                           0.014447   0.002565
OAKS-MOR-585                           0.013400   0.003323
OAKS-MOR-871                           0.013277   0.002364
OAKS-MOR-872                           0.013351   0.002405
OAKS-MOR-873                           0.014480   0.002424
OG-10.fq.barcodeStripped               0.015728   0.001899
OG-11.fq.barcodeStripped               0.014876   0.001483
OG-12.fq.barcodeStripped               0.018221   0.002191
OG-13.fq.barcodeStripped               0.014407   0.001556
OG-14.fq.barcodeStripped               0.014500   0.001803
OG-15.fq.barcodeStripped               0.014241   0.001535
OG-16.fq.barcodeStripped               0.015281   0.001997
OG-17.fq.barcodeStripped               0.015892   0.001771
OG-18.fq.barcodeStripped               0.014910   0.001390
OG-19.fq.barcodeStripped               0.014432   0.001934
OG-20.fq.barcodeStripped               0.016398   0.001947
OG-5.fq.barcodeStripped                0.014427   0.001687
OG-6.fq.barcodeStripped                0.017793   0.001888
OG-7.fq.barcodeStripped                0.014460   0.001703
OG-8.fq.barcodeStripped                0.014940   0.001600
OG-9.fq.barcodeStripped                0.015565   0.001851
PA_2010.techRep.fq.barcodeStripped     0.017187   0.001545
PM-101a.fq.barcodeStripped             0.011255   0.001368
PM-103a.fq.barcodeStripped             0.010879   0.001367
PM-104a.fq.barcodeStripped             0.010793   0.001262
PM-106                                 0.002573   0.001441
PM-10b.fq.barcodeStripped              0.011421   0.001371
PM-12b.fq.barcodeStripped              0.011668   0.001390
PM-19.fq.barcodeStripped               0.014885   0.001595
PM-215                                 0.013948   0.001955
PM-216                                 0.013424   0.001991
PM-217                                 0.016025   0.002115
PM-218                                 0.017713   0.002500
PM-219                                 0.015624   0.001997
PM-227                                 0.009098   0.001777
PM-228                                 0.007180   0.001839
PM-229                                 0.003192   0.001761
PM-230                                 0.013188   0.001963
PM-232                                 0.013969   0.001979
PM-233                                 0.013220   0.001977
PM-234                                 0.012647   0.002245
PM-235                                 0.015168   0.002098
PM-236                                 0.015038   0.002059
PM-237                                 0.014610   0.002230
PM-238                                 0.015299   0.001990
PM-241                                 0.014519   0.002098
PM-242                                 0.015657   0.001918
PM-244                                 0.009007   0.002022
PM-245                                 0.007366   0.001823
PM-246                                 0.014060   0.001862
PM-247                                 0.011989   0.001834
PM-248                                 0.012178   0.001914
PM-250                                 0.013244   0.001848
PM-251                                 0.012489   0.002037
PM-252                                 0.006749   0.001779
PM-253                                 0.008284   0.001916
PM-254                                 0.012227   0.001827
PM-255                                 0.001443   0.001752
PM-256                                 0.013663   0.001993
PM-257                                 0.009203   0.001727
PM-258                                 0.009607   0.001765
PM-260                                 0.013303   0.002033
PM-261                                 0.012585   0.001946
PM-262                                 0.017013   0.002664
PM-263                                 0.010639   0.001854
PM-264                                 0.011407   0.001960
PM-265                                 0.006379   0.001847
PM-266                                 0.012418   0.001882
PM-268                                 0.012495   0.002126
PM-269                                 0.011847   0.001832
PM-270                                 0.013058   0.002045
PM-271                                 0.012470   0.001973
PM-272                                 0.013469   0.002073
PM-273                                 0.005251   0.001736
PM-275                                 0.012355   0.001852
PM-276                                 0.011867   0.001878
PM-277                                 0.012336   0.002278
PM-279                                 0.006006   0.002201
PM-280                                 0.013143   0.002082
PM-281                                 0.013608   0.002136
PM-282                                 0.009369   0.002329
PM-284                                 0.003260   0.002270
PM-285                                 0.004840   0.001768
PM-286                                 0.011010   0.006339
PM-287                                 0.005578   0.002063
PM-288                                 0.009379   0.004242
PM-292                                 0.013050   0.001949
PM-293                                 0.013009   0.001912
PM-294                                 0.012711   0.001780
PM-295                                 0.013131   0.002031
PM-296                                 0.012707   0.002047
PM-297                                 0.013706   0.002156
PM-298                                 0.012147   0.001909
PM-300                                 0.012036   0.001886
PM-304                                 0.010039   0.002790
PM-305                                 0.006807   0.001877
PM-306                                 0.013268   0.001939
PM-307                                 0.010789   0.002049
PM-308                                 0.003801   0.001781
PM-309                                 0.013053   0.002360
PM-310                                 0.012992   0.002032
PM-311                                 0.012447   0.002056
PM-312                                 0.016761   0.001903
PM-313                                 0.013758   0.002021
PM-314                                 0.011932   0.001830
PM-316                                 0.011611   0.001726
PM-317                                 0.011480   0.001950
PM-318                                 0.013379   0.001981
PM-319                                 0.013016   0.001965
PM-320                                 0.012876   0.001993
PM-321                                 0.011768   0.001972
PM-322                                 0.013068   0.002088
PM-323                                 0.011468   0.001974
PM-324                                 0.013411   0.002002
PM-325                                 0.014849   0.001958
PM-327                                 0.016968   0.002745
PM-329                                 0.012378   0.001885
PM-331                                 0.011668   0.001751
PM-332                                 0.012200   0.001753
PM-335                                 0.012021   0.001785
PM-336                                 0.013506   0.001909
PM-337                                 0.014157   0.001956
PM-338                                 0.010197   0.001693
PM-3b.fq.barcodeStripped               0.014455   0.001627
PM-47b.fq.barcodeStripped              0.011643   0.001397
PM-49.fq.barcodeStripped               0.012363   0.001162
PM-5b.fq.barcodeStripped               0.010480   0.001315
PM-76                                  0.015047   0.001477
PM-80b.fq.barcodeStripped              0.010820   0.001193
PM-93b.fq.barcodeStripped              0.012062   0.001476
PM-98.fq.barcodeStripped               0.012236   0.001416
PM1                                    0.012857   0.002071
PM107.fq.barcodeStripped               0.012511   0.001401
PM11                                   0.013966   0.002393
PM141.fq.barcodeStripped               0.011856   0.001524
PM143.fq.barcodeStripped               0.013481   0.001377
PM145.fq.barcodeStripped               0.013844   0.001406
PM147.fq.barcodeStripped               0.011963   0.001345
PM148.fq.barcodeStripped               0.011819   0.001155
PM150.fq.barcodeStripped               0.012295   0.001357
PM155.fq.barcodeStripped               0.013751   0.001523
PM178.fq.barcodeStripped               0.016457   0.001686
PM179.fq.barcodeStripped               0.014258   0.001766
PM190.fq.barcodeStripped               0.015501   0.001795
PM2                                    0.010948   0.002131
PM4                                    0.012003   0.002112
PM96                                   0.013188   0.003780
PM_215                                 0.013948   0.001955
PM_216                                 0.013424   0.001991
PM_217                                 0.016025   0.002115
PM_218                                 0.017713   0.002500
PM_219                                 0.015624   0.001997
PM_227                                 0.009098   0.001777
PM_228                                 0.007180   0.001839
PM_229                                 0.003192   0.001761
PM_230                                 0.013188   0.001963
PM_232                                 0.013969   0.001979
PM_233                                 0.013220   0.001977
PM_235                                 0.015168   0.002098
PM_236                                 0.015038   0.002059
PM_237                                 0.014610   0.002230
PM_238                                 0.015299   0.001990
PM_241                                 0.014519   0.002098
PM_242                                 0.015657   0.001918
PM_244                                 0.009007   0.002022
PM_245                                 0.007366   0.001823
PM_246                                 0.014060   0.001862
PM_247                                 0.011989   0.001834
PM_288                                 0.009379   0.004242
PM_304                                 0.010039   0.002790
PM_305                                 0.006807   0.001877
PM_313                                 0.013758   0.002021
PM_321                                 0.011768   0.001972
PM_322                                 0.013068   0.002088
PM_324                                 0.013411   0.002002
PM_325                                 0.014849   0.001958
PM_327                                 0.016968   0.002745
PM_76                                  0.015283   0.001528
PM_F7                                  0.013227   0.001944
PO_2010.techRep.fq.barcodeStripped     0.018833   0.002071
Q-humb10-2-17-1                        0.007137   0.001852
RO_2010.techRep.fq.barcodeStripped     0.015461   0.001636
SCCU3                                  0.014951   0.001786
TXGR3                                  0.016337   0.001814
TXMD3                                  0.015904   0.001733
TXWV2                                  0.014420   0.001482
UMN_124                                0.011084   0.002110
VI1_2012.techRep                       0.016206   0.002031
