                                     hetero_est  error_est
OAK-MOR-001160                         0.008497   0.002013
OAK-MOR-001161                         0.009404   0.002068
OAK-MOR-001162                         0.010471   0.002170
OAK-MOR-001163                         0.009236   0.002112
OAK-MOR-001165                         0.008906   0.002124
OAK-MOR-001166                         0.009411   0.002182
OAK-MOR-001167                         0.008496   0.002171
OAK-MOR-001170                         0.010425   0.002167
OAK-MOR-001171                         0.009672   0.002001
OAK-MOR-001172                         0.008352   0.002084
OAK-MOR-001173                         0.008783   0.002020
OAK-MOR-001174                         0.007875   0.002009
OAK-MOR-001175                         0.008046   0.002017
OAK-MOR-001176                         0.010087   0.002133
OAK-MOR-001177                         0.008086   0.002004
OAK-MOR-001178                         0.009566   0.001981
OAK-MOR-001179                         0.009321   0.002075
OAK-MOR-001180                         0.008984   0.002018
OAK-MOR-001181                         0.009631   0.002146
OAK-MOR-001182                         0.008744   0.002093
OAK-MOR-001183                         0.010328   0.002182
OAK-MOR-001184                         0.009090   0.002159
OAK-MOR-001185                         0.010145   0.002239
OAK-MOR-001186                         0.009421   0.002081
OAK-MOR-001191                         0.009977   0.002136
OAK-MOR-001192                         0.008957   0.002046
OAK-MOR-001193                         0.008821   0.002053
OAK-MOR-001194                         0.009313   0.002203
OAK-MOR-001195                         0.009752   0.002047
OAK-MOR-001196                         0.008485   0.002060
OAK-MOR-001197                         0.007966   0.002066
OAK-MOR-001198                         0.010697   0.002202
OAK-MOR-001199                         0.010344   0.002021
OAK-MOR-001200                         0.010279   0.002065
OAK-MOR-001202                         0.010126   0.002125
OAK-MOR-001203                         0.010649   0.002026
OAK-MOR-001204                         0.008917   0.001983
OAK-MOR-001205                         0.013430   0.002166
OAK-MOR-001206                         0.009993   0.002225
OAK-MOR-001207                         0.009520   0.002068
OAK-MOR-001208                         0.010796   0.002182
OAK-MOR-001209                         0.010177   0.002210
OAK-MOR-001210                         0.011479   0.002214
OAK-MOR-001211                         0.011424   0.002226
OAK-MOR-001212                         0.010499   0.002098
OAK-MOR-001213                         0.009952   0.002110
OAK-MOR-001214                         0.009163   0.002124
OAK-MOR-001215                         0.009739   0.002158
OAK-MOR-001218                         0.009627   0.002195
OAK-MOR-001219                         0.009242   0.002210
OAK-MOR-1040                           0.013352   0.002763
OAK-MOR-1041                           0.013982   0.002462
OAK-MOR-1042                           0.015579   0.002978
OAK-MOR-1046                           0.014377   0.002518
OAK-MOR-1047                           0.014531   0.002601
OAK-MOR-1049                           0.013136   0.002453
OAK-MOR-1054                           0.014838   0.002746
OAK-MOR-1055                           0.014801   0.002498
OAK-MOR-1057                           0.014386   0.002785
OAK-MOR-1058                           0.014595   0.002582
OAK-MOR-1059                           0.013579   0.001911
OAK-MOR-1060                           0.013663   0.002376
OAK-MOR-1061                           0.012110   0.001845
OAK-MOR-1095                           0.015581   0.002167
OAK-MOR-1134                           0.012229   0.001851
OAK-MOR-1135                           0.014804   0.001988
OAK-MOR-1136                           0.012738   0.001765
OAK-MOR-1137                           0.012489   0.001898
OAK-MOR-1138                           0.013588   0.001983
OAK-MOR-1140                           0.013079   0.001876
OAK-MOR-1141                           0.008279   0.001807
OAK-MOR-1142                           0.013251   0.001896
OAK-MOR-1143                           0.013500   0.001857
OAK-MOR-1144                           0.014173   0.001756
OAK-MOR-1145                           0.016520   0.002125
OAK-MOR-1146                           0.016743   0.001959
OAK-MOR-1147                           0.014581   0.001979
OAK-MOR-1148                           0.011635   0.001836
OAK-MOR-118                            0.010567   0.002119
OAK-MOR-120                            0.010764   0.002192
OAK-MOR-1224                           0.010654   0.002158
OAK-MOR-1227                           0.009956   0.002148
OAK-MOR-1228                           0.010076   0.002008
OAK-MOR-1229                           0.010297   0.002104
OAK-MOR-123.fq.barcodeStripped         0.011382   0.001257
OAK-MOR-1230                           0.011067   0.002068
OAK-MOR-1234                           0.009036   0.001936
OAK-MOR-1235                           0.010767   0.002176
OAK-MOR-125                            0.014292   0.002300
OAK-MOR-127                            0.012250   0.002209
OAK-MOR-133.fq.barcodeStripped         0.012370   0.001303
OAK-MOR-135                            0.013720   0.002099
OAK-MOR-143                            0.014169   0.002888
OAK-MOR-164                            0.013764   0.003449
OAK-MOR-167.fq.barcodeStripped         0.012657   0.001364
OAK-MOR-169.fq.barcodeStripped         0.013353   0.001377
OAK-MOR-173                            0.015185   0.002184
OAK-MOR-174                            0.014665   0.002081
OAK-MOR-189                            0.015264   0.002405
OAK-MOR-191                            0.015329   0.002235
OAK-MOR-199                            0.012217   0.002029
OAK-MOR-204.fq.barcodeStripped         0.012951   0.001446
OAK-MOR-221.fq.barcodeStripped         0.013470   0.001418
OAK-MOR-222                            0.015271   0.002212
OAK-MOR-226                            0.014572   0.002297
OAK-MOR-245.fq.barcodeStripped         0.015958   0.002177
OAK-MOR-249.fq.barcodeStripped         0.015700   0.001723
OAK-MOR-256.fq.barcodeStripped         0.012162   0.001335
OAK-MOR-260                            0.013210   0.003562
OAK-MOR-289.fq.barcodeStripped         0.015082   0.001936
OAK-MOR-305                            0.014712   0.002131
OAK-MOR-336                            0.016103   0.002597
OAK-MOR-340.fq.barcodeStripped         0.013872   0.001463
OAK-MOR-342                            0.015228   0.002455
OAK-MOR-346                            0.013644   0.002293
OAK-MOR-351                            0.014521   0.002214
OAK-MOR-352                            0.013584   0.002179
OAK-MOR-353                            0.015286   0.002024
OAK-MOR-354                            0.013433   0.002284
OAK-MOR-356                            0.015416   0.002248
OAK-MOR-357                            0.015048   0.002242
OAK-MOR-358                            0.012624   0.002068
OAK-MOR-359                            0.015697   0.002321
OAK-MOR-360                            0.014201   0.002061
OAK-MOR-361                            0.009625   0.002047
OAK-MOR-362                            0.016708   0.002236
OAK-MOR-365                            0.014893   0.002728
OAK-MOR-375                            0.017123   0.002479
OAK-MOR-376                            0.016362   0.002392
OAK-MOR-377                            0.014967   0.002213
OAK-MOR-383                            0.014090   0.002158
OAK-MOR-385                            0.015155   0.002140
OAK-MOR-387                            0.015959   0.002476
OAK-MOR-388                            0.018225   0.002444
OAK-MOR-390                            0.015199   0.002281
OAK-MOR-391                            0.014541   0.002331
OAK-MOR-392                            0.015251   0.002130
OAK-MOR-393                            0.014773   0.002180
OAK-MOR-394                            0.017710   0.002254
OAK-MOR-395                            0.015611   0.002236
OAK-MOR-397                            0.015885   0.002219
OAK-MOR-398                            0.014246   0.002078
OAK-MOR-399                            0.014861   0.002350
OAK-MOR-400                            0.017077   0.002772
OAK-MOR-401                            0.017822   0.002409
OAK-MOR-402                            0.013011   0.002122
OAK-MOR-403                            0.015433   0.002494
OAK-MOR-405.fq.barcodeStripped         0.012248   0.001272
OAK-MOR-406                            0.016201   0.002403
OAK-MOR-410                            0.013380   0.002356
OAK-MOR-411                            0.015306   0.002267
OAK-MOR-412                            0.009705   0.002173
OAK-MOR-413                            0.016001   0.002520
OAK-MOR-414                            0.013517   0.002196
OAK-MOR-415                            0.015399   0.002592
OAK-MOR-416                            0.013525   0.002303
OAK-MOR-417                            0.015346   0.002312
OAK-MOR-418                            0.015216   0.002219
OAK-MOR-419                            0.013245   0.002408
OAK-MOR-420                            0.015929   0.002257
OAK-MOR-421                            0.014667   0.002346
OAK-MOR-422                            0.015170   0.002357
OAK-MOR-423.fq.barcodeStripped         0.012709   0.001223
OAK-MOR-428                            0.014403   0.002339
OAK-MOR-429                            0.012452   0.002250
OAK-MOR-430                            0.015347   0.002351
OAK-MOR-435                            0.014074   0.002346
OAK-MOR-436                            0.015987   0.002357
OAK-MOR-438                            0.015377   0.002433
OAK-MOR-441A                           0.013337   0.002376
OAK-MOR-443                            0.012202   0.002363
OAK-MOR-444                            0.015666   0.002172
OAK-MOR-446                            0.018445   0.002338
OAK-MOR-448.fq.barcodeStripped         0.013689   0.001346
OAK-MOR-461.fq.barcodeStripped         0.012168   0.001298
OAK-MOR-462                            0.016384   0.002594
OAK-MOR-463                            0.015414   0.002409
OAK-MOR-470                            0.014464   0.002570
OAK-MOR-474                            0.015849   0.002461
OAK-MOR-476                            0.013000   0.002077
OAK-MOR-485                            0.014328   0.002259
OAK-MOR-486                            0.015338   0.002347
OAK-MOR-487.fq.barcodeStripped         0.016204   0.002040
OAK-MOR-488                            0.013385   0.002081
OAK-MOR-489                            0.015064   0.002232
OAK-MOR-490                            0.012540   0.002012
OAK-MOR-495                            0.012341   0.002016
OAK-MOR-496                            0.014227   0.002421
OAK-MOR-498                            0.013305   0.002331
OAK-MOR-499                            0.013040   0.002142
OAK-MOR-500                            0.012351   0.002320
OAK-MOR-502                            0.013557   0.002469
OAK-MOR-507                            0.011974   0.002291
OAK-MOR-508                            0.015195   0.002363
OAK-MOR-509                            0.012920   0.002274
OAK-MOR-510                            0.014294   0.002153
OAK-MOR-511                            0.014997   0.002073
OAK-MOR-516                            0.014238   0.002145
OAK-MOR-517                            0.013632   0.002193
OAK-MOR-520                            0.014525   0.002109
OAK-MOR-521                            0.013009   0.002326
OAK-MOR-527                            0.014001   0.002125
OAK-MOR-528                            0.014922   0.002056
OAK-MOR-529                            0.013082   0.002183
OAK-MOR-531                            0.015189   0.002400
OAK-MOR-532                            0.014222   0.002167
OAK-MOR-533                            0.014629   0.002241
OAK-MOR-534                            0.015796   0.002361
OAK-MOR-535                            0.016042   0.002609
OAK-MOR-537                            0.013265   0.002149
OAK-MOR-543                            0.012522   0.002204
OAK-MOR-544                            0.014185   0.002335
OAK-MOR-545                            0.013669   0.002296
OAK-MOR-546                            0.012583   0.002712
OAK-MOR-548                            0.013018   0.002273
OAK-MOR-549.fq.barcodeStripped         0.012147   0.001328
OAK-MOR-575.fq.barcodeStripped         0.014154   0.001508
OAK-MOR-578.fq.barcodeStripped         0.017475   0.001930
OAK-MOR-580.nameFixed                  0.013396   0.001407
OAK-MOR-581.nameFixed                  0.013329   0.001330
OAK-MOR-582.nameFixed                  0.015846   0.001596
OAK-MOR-583.nameFixed                  0.013853   0.001412
OAK-MOR-584.nameFixed                  0.012874   0.001386
OAK-MOR-587.nameFixed                  0.013316   0.001366
OAK-MOR-588.fq.barcodeStripped         0.013736   0.001715
OAK-MOR-589.fq.barcodeStripped         0.016247   0.002371
OAK-MOR-590.fq.barcodeStripped         0.019419   0.003301
OAK-MOR-591.fq.barcodeStripped         0.015014   0.001894
OAK-MOR-593.fq.barcodeStripped         0.017467   0.001834
OAK-MOR-599.fq.barcodeStripped         0.004183   0.001040
OAK-MOR-600.nameFixed                  0.014523   0.001481
OAK-MOR-601.nameFixed                  0.013258   0.001399
OAK-MOR-604                            0.014848   0.004189
