1		
Quercus_turbinella|USA|AZ|JCB-US-AZ-CH-TU|QUE000176	Leucomexicana	0.43
Quercus_ajoensis|USA|AZ|JCB-US-AZ-AM-AJ-2|QUE000178	Leucomexicana	0.51
Quercus_toumeyi|USA|AZ|AZ-CH-7|QUE000160	Leucomexicana	0.51
Quercus_striatula|Mexico|Zacatecas|2017163|QUE002051	Leucomexicana	0.51
Quercus_grisea|USA|AZ|AZ-CH-10|QUE000163	Leucomexicana	0.51
Quercus_arizonica|USA|AZ|AZ-CH-2|QUE000155	Leucomexicana	0.51
Quercus_engelmannii|USA|CA|CA-DAV-MH37|QUE000310	Leucomexicana	0.51
Quercus_oblongifolia|Mexico|Durango|2017154|QUE002042	Leucomexicana	0.51
Quercus_rugosa|Mexico|Durango_|8388|QUE002665	Leucomexicana	0.51
Quercus_greggii|Mexico|Zacatecas|8386|QUE002663	Leucomexicana	0.51
Quercus_diversifolia|Mexico|Guanajuato|CA-DAV-MH29|QUE000302	Leucomexicana	0.51
Quercus_obtusata|Mexico|Jalisco|JCB-MX-JA-MS-204|QUE000474	Leucomexicana	0.51
Quercus_potosina|Mexico|Oaxaca|JCB-MX-OA-TE-12|QUE000205	Leucomexicana	0.51
Quercus_arizonica|Mexico|Durango|2015003|QUE001258	Leucomexicana	0.51
Quercus_peduncularis|Mexico|Jalisco|JCB-MX-JA-MA-139|QUE000408	Leucomexicana	0.51
Quercus_laeta|Mexico|Nayarit|2015071|QUE001323	Leucomexicana	0.51
Quercus_chihuahuensis|Mexico|Jalisco|2015076|QUE001328	Leucomexicana	0.51
Quercus_laeta|Mexico|Durango|2015040|QUE001294	Leucomexicana	0.51
Quercus_deserticola|Mexico|Jalisco|JCB-MX-JA-NC-160|QUE000429	Leucomexicana	0.51
Quercus_glaucoides|Mexico|Oaxaca|JCB-MX-OA-PA-14|QUE000207	Leucomexicana	0.51
Quercus_resinosa|Mexico|Jalisco|JCB-MX-JA-TM-110|QUE000378	Leucomexicana	0.51
Quercus_magnoliifolia|Mexico|Jalisco|JCB-MX-JA-MA-153|QUE000422	Leucomexicana	0.51
Quercus_nudinervis|Mexico|Durango|2017124|QUE002013	Leucomexicana	0.51
Quercus_subspathulata|Mexico|Durango|2017129|QUE002018	Leucomexicana	0.51
Quercus_liebmanii|Mexico|Oaxaca|JCB-MX-OA-TE-7|QUE000200	Leucomexicana	0.51
Quercus_segoviensis|Honduras|NA|JCB-HN-UY-47|QUE000536	Leucomexicana	0.51
Quercus_purulhana|Belize|NA|JCB-BZ-MPR-PU-6|QUE001577	Leucomexicana	0.51
Quercus_new_species|Mexico|Oaxaca|JCB-MX-OA-OA-34|QUE000227	Leucomexicana	0.51
Quercus_glaucescens|Mexico|Oaxaca|JCB-MX-OA-PO-58|QUE000251	Leucomexicana	0.51
Quercus_lancifolia|Honduras|NA|JCB-HN-UY-34|QUE000523	Leucomexicana	0.51
Quercus_copeyensis|Costa_Rica|NA|CR-JCB-3|QUE001085	Leucomexicana	0.51
Quercus_insignis|Mexico|NA|JCB-MX-??-RV|QUE001578	Leucomexicana	0.51
Quercus_corrugata|Mexico|Chiapas|AGR1|QUE000542	Leucomexicana	0.51
Quercus_glabrescens|Mexico|Hidalgo|IL-SH-014|QUE000824	Leucomexicana	0.51
Quercus_martinezii|Mexico|Jalisco|AGR25|QUE001586	Leucomexicana	0.51
Quercus_germana|cultivated|na|IL-SH-149|QUE000823	Leucomexicana	0.51
Quercus_vaseyana|USA|TX|IL-SH-075|QUE000863	Leucomexicana	0.51
Quercus_pungens|USA|TX|IL-SH-98|QUE000680	Leucomexicana	0.51
Quercus_hinckleyi|USA|TX|QUHI006|QUE000280	Leucomexicana	0.51
Quercus_polymorpha|Mexico|Nuevo_Leon|IL-SH-084|QUE000850	Leucomexicana	0.51
Quercus_mohriana|USA|TX|IL-SH-36|QUE000649	Leucomexicana	0.51
Quercus_laceyi|USA|NA|IL-SH-177|QUE000611	Stellatae	1
Quercus_margarettae|USA|TX|CA-DAV-MH50|QUE000323	Stellatae	1
Quercus_austrina|USA|GA|IL-SH-48|QUE000661	Stellatae	1
Quercus_havardii|USA|TX|IL-SH-99|QUE000681	Stellatae	1
Quercus_chapmanii|USA|FL|IL-SH-137|QUE000810	Stellatae	1
Quercus_similis|USA|LA|PM-107|QUE000767	Stellatae	1
Quercus_stellata|USA|NC|PM-11|QUE000692	Stellatae	1
Quercus_boyntonii|USA|AL|IL-SH-179|QUE000613	Stellatae	1
Quercus_oglethorpensis|USA|SC|IL-MOR-MH104_|QUE000146	Stellatae	1
Quercus_sinuata|USA|TX|CA-DAV-MH17|QUE000290	Stellatae	1
Quercus_boissieri|Israel|NA|s.n.|QUE000995	Roburoids	1
